Date,Open,High,Low,Close,Volume
12/30/2016,42120,42330,41700,41830,610000
12/29/2016,43000,43220,42540,42660,448400
12/28/2016,43940,43970,43270,43270,339900
12/27/2016,43140,43700,43140,43620,400100
12/26/2016,43310,43660,43090,43340,358200
12/22/2016,43660,43840,43190,43480,381600
12/21/2016,43900,44370,43610,44000,658900
12/20/2016,42910,43630,42860,43620,499400
12/19/2016,42790,43150,42740,43130,358700
12/16/2016,43350,43550,42810,43130,542000
12/15/2016,43440,43880,42550,43000,627400
12/14/2016,43300,43440,42590,43090,548800
12/13/2016,43130,43300,42630,43210,434500
12/12/2016,43950,44000,42880,43130,775300
12/9/2016,41700,42970,41150,42590,1975600
12/8/2016,41480,41560,40830,41100,639900
12/7/2016,40500,41150,40420,40870,536800
12/6/2016,40350,40500,39860,40150,618100
12/5/2016,40060,40350,39690,39760,620500
12/2/2016,40300,40660,39960,40660,573000
12/1/2016,40500,41190,40320,40460,850700
11/30/2016,40300,40340,39570,39570,692200
11/29/2016,40420,40580,40100,40200,894400
11/28/2016,41260,41440,40830,41260,384800
11/25/2016,41820,42020,41220,41370,665500
11/24/2016,41300,41760,41170,41730,692900
11/22/2016,39880,40360,39660,40360,500200
11/21/2016,40210,40270,39510,39970,609600
11/18/2016,39980,40620,39900,40190,886500
11/17/2016,39200,39710,39050,39280,573700
11/16/2016,39130,39750,39110,39400,764300
11/15/2016,38600,38980,38470,38570,555600
11/14/2016,37730,38690,37680,38580,784100
11/11/2016,37590,37940,37190,37600,1329900
11/10/2016,36480,37110,36000,36890,1309900
11/9/2016,36920,37220,33520,33680,1570400
11/8/2016,36870,37050,36410,36550,417500
11/7/2016,36020,36710,36000,36640,648000
11/4/2016,35460,35930,35360,35510,499100
11/2/2016,35450,35940,35420,35540,396700
11/1/2016,35440,36050,35310,35890,366200
10/31/2016,35690,36030,35450,35460,344400
10/28/2016,36020,36450,35980,35980,454200
10/27/2016,36250,36370,35600,35770,426500
10/26/2016,36840,36850,36380,36450,353400
10/25/2016,36500,36940,36450,36850,400800
10/24/2016,36650,36660,36000,36300,365000
10/21/2016,36350,36850,36180,36300,579900
10/20/2016,34910,36330,34910,36330,751800
10/19/2016,34900,35050,34600,35020,356500
10/18/2016,34490,34900,34210,34900,477400
10/17/2016,34710,35030,34180,34210,657500
10/14/2016,33200,35090,33200,34800,1671000
10/13/2016,34000,34290,33010,33150,556000
10/12/2016,33550,34030,33380,33790,464500
10/11/2016,33580,34040,33560,33920,529400
10/7/2016,33600,33900,33400,33500,407300
10/6/2016,34200,34460,34030,34040,454400
10/5/2016,34150,34200,33600,33940,534400
10/4/2016,33300,33950,33150,33490,688900
10/3/2016,32800,32990,32580,32980,421000
9/30/2016,32030,32490,31970,32290,650400
9/29/2016,32620,32650,32140,32480,453600
9/28/2016,32400,32440,31800,32040,558400
9/27/2016,32530,32650,31860,32400,626100
9/26/2016,32780,33350,32640,32710,656700
9/23/2016,32950,33760,32810,33230,692500
9/21/2016,32370,33190,31010,33000,1536200
9/20/2016,33480,33530,32480,32510,1042300
9/16/2016,33990,34400,33600,34360,606600
9/15/2016,34740,34820,33930,34110,663400
9/14/2016,35400,35540,34950,35080,466300
9/13/2016,35880,36140,35560,35750,384100
9/12/2016,35930,36180,35340,35470,482400
9/9/2016,36410,36590,35970,36330,1014200
9/8/2016,36700,36750,36020,36410,475000
9/7/2016,36600,36900,36220,36390,593600
9/6/2016,36990,37310,36820,36860,540100
9/5/2016,36500,37520,36480,37120,780400
9/2/2016,35750,35900,35340,35700,772200
9/1/2016,36400,36490,35680,35940,694200
8/31/2016,36500,36750,36310,36340,443200
8/30/2016,36220,36500,36210,36440,499700
8/29/2016,35910,36480,35670,36450,723500
8/26/2016,35400,35790,34780,35370,1117000
8/25/2016,35400,35890,34660,35460,1371300
8/24/2016,36160,36850,35470,35600,897700
8/23/2016,36680,37050,36480,36580,546500
8/22/2016,37270,37360,36910,36980,354100
8/19/2016,36950,37590,36840,37150,587300
8/18/2016,36880,37620,36450,36560,855000
8/17/2016,36740,37170,36700,36970,524600
8/16/2016,37590,37680,36500,36500,961900
8/15/2016,38140,38230,37580,37630,384700
8/12/2016,37530,38250,37120,38080,899600
8/10/2016,37600,37860,36930,37000,825600
8/9/2016,37700,38250,37180,37500,837900
8/8/2016,37800,37950,37150,37880,952000
8/5/2016,35950,36880,35670,36640,1295200
8/4/2016,35200,35530,34210,35500,1224800
8/3/2016,34340,35080,33900,34540,1288600
8/2/2016,34330,34580,33610,33640,640000
8/1/2016,33300,34900,33110,34670,947300
7/29/2016,32230,34150,32210,33430,827000
7/28/2016,33300,33370,32850,32910,385700
7/27/2016,32880,34240,32830,33630,734500
7/26/2016,33040,33300,32360,32530,574100
7/25/2016,32630,33350,32560,33170,473700
7/22/2016,33160,33240,32530,32640,492500
7/21/2016,33420,34450,33420,33720,737000
7/20/2016,33160,33280,32750,32920,662300
7/19/2016,34500,35000,33120,33700,1391900
7/15/2016,31000,32660,31000,32660,1675600
7/14/2016,27750,28010,27390,27660,570100
7/13/2016,28500,28500,27675,28145,765800
7/12/2016,27750,27995,27510,27800,909100
7/11/2016,26200,26995,26105,26845,757700
7/8/2016,26020,26145,25355,25445,993300
7/7/2016,26185,26665,25910,26030,603200
7/6/2016,26000,26070,25305,25900,995800
7/5/2016,27205,27225,26460,26540,928100
7/4/2016,26800,27920,26760,27705,555400
7/1/2016,27710,27845,27155,27360,485300
6/30/2016,27905,27980,27245,27300,721600
6/29/2016,27955,27980,27480,27595,790700
6/28/2016,27000,27730,26705,27455,693000
6/27/2016,26795,27470,26325,27385,823500
6/24/2016,29525,29925,26120,26295,1569600
6/23/2016,28500,29425,28375,29340,684400
6/22/2016,28465,28550,27765,28230,571500
6/21/2016,28230,28645,27800,28595,471200
6/20/2016,27940,28695,27940,28395,736600
6/17/2016,27535,27900,27435,27550,789100
6/16/2016,28390,28865,27210,27260,895500
6/15/2016,28010,28390,27750,28255,733600
6/14/2016,29060,29190,28055,28330,800300
6/13/2016,29380,29605,29050,29055,737300
6/10/2016,29950,30270,29630,29815,1320400
6/9/2016,30260,30500,29855,29940,505800
6/8/2016,30030,30450,29810,30450,548200
6/7/2016,30050,30190,29710,29995,662200
6/6/2016,29420,30200,29335,30090,704700
6/3/2016,29205,30450,29100,30120,1410200
6/2/2016,28800,28800,28100,28180,726800
6/1/2016,29510,29845,28880,28965,583400
5/31/2016,29195,29995,29155,29885,532200
5/30/2016,29195,29485,28905,29385,476000
5/27/2016,29700,29725,28970,29000,461300
5/26/2016,29240,29745,29135,29400,685900
5/25/2016,28165,28830,28090,28740,762100
5/24/2016,27995,28035,27515,27665,605500
5/23/2016,28520,28610,27615,27965,593200
5/20/2016,28375,28870,27930,28775,487300
5/19/2016,28800,29065,28255,28475,466800
5/18/2016,28510,28860,28135,28585,799200
5/17/2016,28750,28945,28235,28660,650500
5/16/2016,28655,28950,28050,28150,594700
5/13/2016,29380,29380,28490,28500,874500
5/12/2016,28610,29115,28205,29020,452600
5/11/2016,29395,29520,28650,28750,531800
5/10/2016,29065,29095,28160,28895,755400
5/9/2016,28195,28670,28050,28610,535900
5/6/2016,28140,28330,27355,28020,923300
5/2/2016,27685,28260,27560,27945,1017200
4/28/2016,31490,32040,29160,29185,1499200
4/27/2016,30550,31290,30530,30980,1306500
4/26/2016,30880,31250,30150,30540,887400
4/25/2016,32110,32490,31050,31140,936700
4/22/2016,30610,32220,30610,31950,1255200
4/21/2016,30500,31280,30310,30890,1271300
4/20/2016,30310,30420,29180,29425,1070000
4/19/2016,28985,30020,28950,29870,1059500
4/18/2016,28640,28825,28030,28075,964900
4/15/2016,29000,30250,28850,29615,1047300
4/14/2016,29275,29935,29140,29800,1174300
4/13/2016,27500,28825,27140,28695,1606000
4/12/2016,26590,27025,26320,26915,833600
4/11/2016,26620,27090,26375,26815,1159400
4/8/2016,27500,27785,26395,26610,2352200
4/7/2016,31880,31880,30370,30490,777300
4/6/2016,31860,32250,31550,31640,631900
4/5/2016,32970,32990,31890,32020,850800
4/4/2016,33770,34080,33300,33410,654300
4/1/2016,35800,35940,33860,34070,803200
3/31/2016,36850,36950,36020,36020,648000
3/30/2016,37040,37050,36470,36500,417200
3/29/2016,35940,36780,35390,36780,635000
3/28/2016,36690,36760,36070,36150,391200
3/25/2016,36480,36720,36270,36410,405700
3/24/2016,36690,36900,36210,36240,620800
3/23/2016,36000,36860,35900,36760,765600
3/22/2016,35760,35900,35100,35660,455200
3/18/2016,35810,35960,34840,35120,639500
3/17/2016,36280,36810,35630,35850,572700
3/16/2016,36000,36260,35660,35910,437900
3/15/2016,36680,36950,36180,36270,747000
3/14/2016,35400,36390,35400,36390,824300
3/11/2016,33400,34850,33350,34590,1626200
3/10/2016,34200,34230,33840,34030,444900
3/9/2016,33900,34150,33610,33690,652900
3/8/2016,34690,34710,33940,34420,809900
3/7/2016,34810,34810,34400,34490,645500
3/4/2016,34630,34700,34210,34410,537400
3/3/2016,33330,34660,33080,34530,1056000
3/2/2016,32000,33530,31970,33330,1110600
3/1/2016,31390,31620,30910,31310,757700
2/29/2016,31520,31990,31280,31340,658800
2/26/2016,31770,32420,31540,31540,702100
2/25/2016,31190,31420,30760,31230,619000
2/24/2016,31700,31800,31170,31320,580000
2/23/2016,32000,32560,31630,31960,577700
2/22/2016,31130,32240,31130,31760,693500
2/19/2016,31610,31780,31040,31500,751100
2/18/2016,32500,32520,31340,31960,1016000
2/17/2016,32690,32820,30720,31240,1105600
2/16/2016,32710,33530,32210,32810,980300
2/15/2016,33130,33490,32520,33220,1016700
2/12/2016,31870,32770,31060,32390,2255200
2/10/2016,33100,33300,31820,32520,1002100
2/9/2016,33590,34050,32710,32870,1000500
2/8/2016,34030,35330,33710,35070,835400
2/5/2016,34750,35070,34080,34590,957900
2/4/2016,36500,36660,35270,35400,1106300
2/3/2016,37470,37880,36250,36620,1060500
2/2/2016,37370,37570,37030,37240,600100
2/1/2016,38610,38710,37320,37670,884000
1/29/2016,37320,39890,36660,38430,1626100
1/28/2016,37090,37730,36930,37120,767900
1/27/2016,37290,38270,37170,37610,771700
1/26/2016,37000,37120,36750,36990,814700
1/25/2016,37650,38190,36790,37870,974800
1/22/2016,35700,37710,35620,37420,1418900
1/21/2016,35810,36060,34540,34610,1321500
1/20/2016,37470,37480,35380,35650,1254300
1/19/2016,36610,37320,36410,37220,739800
1/18/2016,36370,36980,35730,36730,795800
1/15/2016,38120,38490,36810,37000,786100
1/14/2016,37290,37800,36850,37640,863300
1/13/2016,37840,38720,37740,38690,805500
1/12/2016,37210,38050,37130,37630,1074300
1/8/2016,36700,38580,36180,38140,2502700
1/7/2016,40000,40500,39010,39050,795900
1/6/2016,40320,41070,39850,40170,808800
1/5/2016,40360,41230,40110,40430,817500
1/4/2016,42000,42200,40450,40650,857100
12/30/2015,42300,42700,41950,42640,388000
12/29/2015,42240,42780,41860,42160,500600
12/28/2015,43240,43350,42300,42590,331200
12/25/2015,43000,43540,42850,43140,348500
12/24/2015,43920,43920,43030,43050,459000
12/22/2015,43940,44000,43120,43230,396800
12/21/2015,43650,44240,42860,43750,683300
12/18/2015,45300,47120,44030,44070,1312600
12/17/2015,45490,45790,44890,45180,929900
12/16/2015,44660,44960,44010,44520,651600
12/15/2015,44800,45050,43880,43980,499900
12/14/2015,44540,44790,44310,44520,624100
12/11/2015,45190,46270,45190,45940,1498900
12/10/2015,45650,45850,45300,45440,562700
12/9/2015,47110,47300,46290,46610,447700
12/8/2015,47240,47960,47030,47160,386200
12/7/2015,47470,47860,47340,47520,394400
12/4/2015,47110,47660,46560,46720,700800
12/3/2015,48110,48310,47170,48210,916600
12/2/2015,49600,49640,48910,48980,514800
12/1/2015,49880,50080,49400,49890,616300
11/30/2015,49610,49980,49430,49780,487300
11/27/2015,49390,49840,49250,49640,489800
11/26/2015,48720,49480,48710,49330,498000
11/25/2015,48240,48500,47810,48480,404900
11/24/2015,48150,48320,47980,48230,317200
11/20/2015,48400,48500,47890,48210,420200
11/19/2015,48210,48870,47730,48350,713500
11/18/2015,48000,48400,47450,47480,585200
11/17/2015,47330,47650,46950,47400,645100
11/16/2015,46460,46770,46300,46440,474700
11/13/2015,47700,47820,46900,47490,726600
11/12/2015,47350,47890,47290,47880,376100
11/11/2015,47560,48200,47300,47420,542700
11/10/2015,46550,47650,46420,47600,574400
11/9/2015,46390,46880,46250,46720,737700
11/6/2015,44920,45430,44720,45400,499900
11/5/2015,44600,44920,44160,44770,482000
11/4/2015,43920,44870,43690,44350,688800
11/2/2015,43760,44470,43150,43220,442500
10/30/2015,43400,44560,42930,44380,734900
10/29/2015,44470,44480,42960,43420,524600
10/28/2015,44060,44190,43800,44130,357800
10/27/2015,44150,44280,43650,43780,524300
10/26/2015,44480,44500,43910,44000,451100
10/23/2015,43920,44290,43730,43870,880200
10/22/2015,43200,43700,43010,43220,468300
10/21/2015,43050,44080,42990,43810,615500
10/20/2015,43310,43520,42980,43200,312800
10/19/2015,43060,43580,42940,43130,585400
10/16/2015,43330,43680,43080,43400,570300
10/15/2015,42300,43290,41830,42870,748300
10/14/2015,42000,43530,41650,42730,1391000
10/13/2015,43600,43600,41970,42260,1425600
10/9/2015,44440,44910,43710,43900,2522700
10/8/2015,49380,49480,48350,48640,552800
10/7/2015,49750,50190,48910,49800,667900
10/6/2015,50390,50700,49580,50590,606400
10/5/2015,49260,49940,49110,49730,515100
10/2/2015,49120,49830,48600,48730,425900
10/1/2015,48370,49940,48030,49300,808500
9/30/2015,47700,48660,47280,48490,814000
9/29/2015,47140,47370,46690,47150,960200
9/28/2015,46850,47560,46400,47490,644100
9/25/2015,45410,46800,45410,46800,769700
9/24/2015,45000,46260,44660,45300,536700
9/18/2015,46710,47245,46160,46160,570000
9/17/2015,47075,47460,46665,47405,493800
9/16/2015,47550,47885,45895,46375,660100
9/15/2015,46700,47900,46655,47150,707200
9/14/2015,48060,48250,46020,46365,672500
9/11/2015,46160,47860,46060,47620,2153600
9/10/2015,47625,47995,45960,46925,1201700
9/9/2015,46950,49725,46260,49725,1322600
9/8/2015,47155,47270,45125,45170,608900
9/7/2015,46110,47595,45270,46665,696300
9/4/2015,48150,48345,46120,46465,667100
9/3/2015,49515,49550,47510,47795,699500
9/2/2015,46845,49595,46680,48400,946400
9/1/2015,48990,49145,47480,47480,725400
8/31/2015,50430,50640,48890,49265,700000
8/28/2015,50880,51090,50070,50830,645900
8/27/2015,51000,51380,49620,50290,749100
8/26/2015,47275,50710,46210,50620,1478500
8/25/2015,49900,51450,47660,47975,1550200
8/24/2015,51440,52890,50120,50900,1074700
8/21/2015,53130,53680,52140,52170,675800
8/20/2015,53920,54650,53250,54040,465800
8/19/2015,54130,54740,53740,53860,485500
8/18/2015,55500,55940,54400,54510,420900
8/17/2015,55390,55620,55110,55500,254500
8/14/2015,55090,55450,54470,54990,612900
8/13/2015,54880,55720,54320,55510,738900
8/12/2015,55000,55670,54000,54000,853500
8/11/2015,56540,56760,55020,55550,712200
8/10/2015,56050,57320,55910,56540,563000
8/7/2015,56430,57080,56200,56700,643700
8/6/2015,58880,58900,56920,57220,854100
8/5/2015,59580,59960,58440,58480,910800
8/4/2015,60450,61830,60360,61380,502800
8/3/2015,60820,61280,60440,60740,363300
7/31/2015,61550,61650,60670,61370,498200
7/30/2015,60800,61970,60740,61930,737700
7/29/2015,59880,60460,59480,60230,559600
7/28/2015,58050,59460,57820,59370,565800
7/27/2015,57840,58610,57520,58270,376900
7/24/2015,58900,59080,58210,58250,394400
7/23/2015,58800,60000,58700,59280,486000
7/22/2015,58510,59180,58500,58790,440000
7/21/2015,57800,59280,57580,59270,524100
7/17/2015,56840,57440,56760,57220,429000
7/16/2015,56100,56850,55900,56600,613000
7/15/2015,55840,56070,55240,55670,445300
7/14/2015,55010,55950,54780,55530,655900
7/13/2015,54000,54690,53650,54530,671300
7/10/2015,56000,56020,53740,54010,1901200
7/9/2015,55200,57460,54760,57460,1136200
7/8/2015,56250,56540,54810,55180,906400
7/7/2015,55920,56250,55640,56250,505900
7/6/2015,54570,55640,54320,54810,876900
7/3/2015,56130,56280,54880,55740,989600
7/2/2015,57780,58400,57200,57870,657100
7/1/2015,55850,56660,55700,56610,439300
6/30/2015,54900,55560,54530,55560,489700
6/29/2015,55500,56180,54550,54560,765900
6/26/2015,56490,56870,56130,56240,413600
6/25/2015,55390,57000,55360,55970,556400
6/24/2015,55300,55900,54900,55590,552500
6/23/2015,53960,55080,53780,55080,675700
6/22/2015,52380,53960,52350,53910,598500
6/19/2015,52340,52570,52140,52170,459700
6/18/2015,52590,52590,52080,52200,398500
6/17/2015,52550,52720,52050,52560,374400
6/16/2015,52660,53100,52340,52550,359800
6/15/2015,52320,52770,52290,52740,361900
6/12/2015,53400,53400,52440,52770,1304500
6/11/2015,51390,52980,51370,52980,726900
6/10/2015,50970,51440,50580,51000,493800
6/9/2015,51390,51580,50660,50660,517400
6/8/2015,51330,51750,51250,51720,453900
6/5/2015,50690,51060,50520,50960,356400
6/4/2015,51270,51430,50640,50740,432400
6/3/2015,51250,51270,50830,51030,476000
6/2/2015,51440,51500,51030,51320,356000
6/1/2015,51120,51440,50970,51250,351700
5/29/2015,50700,51640,50550,51300,588000
5/28/2015,51270,51490,50630,50970,524300
5/27/2015,50510,50980,50460,50930,424300
5/26/2015,50750,50950,50520,50880,474200
5/25/2015,50150,50810,50150,50670,359400
5/22/2015,50010,50400,49635,50300,395300
5/21/2015,50110,50460,49995,50100,317500
5/20/2015,50280,50630,50050,50200,509100
5/19/2015,49490,50230,49250,50010,728500
5/18/2015,48505,49130,48280,49035,297700
5/15/2015,48680,48940,48410,48565,429300
5/14/2015,49055,49150,48220,48275,666700
5/13/2015,48545,49545,48130,49515,638200
5/12/2015,48250,48620,47930,48335,556400
5/11/2015,47820,48450,47660,48450,498500
5/8/2015,47100,47790,47030,47120,822600
5/7/2015,47295,47500,47015,47105,608200
5/1/2015,47205,47830,47075,47590,554700
4/30/2015,48480,48480,47295,47295,832300
4/28/2015,48600,49145,48410,48930,567700
4/27/2015,48700,48710,48050,48050,481100
4/24/2015,49225,49435,48675,48705,422900
4/23/2015,49450,49600,48965,49395,545500
4/22/2015,48830,49340,48635,49245,549500
4/21/2015,48270,48500,47730,48385,481500
4/20/2015,47600,48310,47400,48075,504800
4/17/2015,48500,48595,47750,47760,534500
